Date;Open;High;Low;Close;Volume
2024.01.02 01:00;2064.98;2066.54;2063.82;2065.7;942
2024.01.02 01:15;2065.7;2066.32;2065.07;2065.11;979
2024.01.02 01:30;2065.11;2065.48;2064.07;2064.52;1191
2024.01.02 01:45;2064.47;2064.56;2063.14;2063.66;973
2024.01.02 02:00;2063.68;2064.99;2063.31;2064.02;1071
2024.01.02 02:15;2064.05;2064.5;2062.17;2063.3;1413
2024.01.02 02:30;2063.41;2064.73;2062.8;2064.52;903
2024.01.02 02:45;2064.5;2065.94;2064.36;2065.45;1446
2024.01.02 03:00;2065.43;2069.71;2064.88;2069.23;3798
2024.01.02 03:15;2069.21;2069.97;2067.32;2068.52;2229
2024.01.02 03:30;2068.49;2068.59;2066.85;2068.17;2235
2024.01.02 03:45;2068.18;2069.18;2066.22;2066.53;1575
2024.01.02 04:00;2066.5;2066.86;2063.89;2064.62;1945
2024.01.02 04:15;2064.62;2067.12;2064.52;2066.72;1458
2024.01.02 04:30;2066.68;2068.44;2065.8;2067.44;2134
2024.01.02 04:45;2067.44;2068.31;2067.28;2067.83;1146
2024.01.02 05:00;2067.83;2069.56;2066.38;2068.99;1604
2024.01.02 05:15;2068.97;2070.08;2068.97;2069.72;1324
2024.01.02 05:30;2069.76;2070.03;2069.35;2069.89;988
2024.01.02 05:45;2069.87;2070.45;2068.53;2069.62;1105
2024.01.02 06:00;2069.65;2070.54;2069.26;2070.28;823
2024.01.02 06:15;2070.38;2070.74;2068.84;2069.48;935
2024.01.02 06:30;2069.5;2070.48;2069.48;2069.92;687
2024.01.02 06:45;2069.95;2070.32;2068.82;2069.62;1008
2024.01.02 07:00;2069.67;2071.77;2069.41;2071.67;1322
2024.01.02 07:15;2071.69;2071.92;2070.69;2071.46;1467
2024.01.02 07:30;2071.56;2072.28;2070.73;2072.04;1736
2024.01.02 07:45;2072.14;2074.95;2071.87;2074.34;2835
2024.01.02 08:00;2074.36;2075.02;2072.85;2074.62;2499
2024.01.02 08:15;2074.58;2076.83;2074.11;2075.87;2509
2024.01.02 08:30;2075.88;2076.69;2074.7;2075.1;4913
2024.01.02 08:45;2075;2075.31;2073.72;2074.04;3122
2024.01.02 09:00;2074.01;2075.85;2073.28;2075.4;4913
2024.01.02 09:15;2075.41;2076.51;2074.42;2075.38;5308
2024.01.02 09:30;2075.38;2075.78;2074.6;2075.24;3462
2024.01.02 09:45;2075.24;2075.48;2073.03;2073.27;4798
2024.01.02 10:00;2073.26;2074.6;2072.21;2074.03;6532
2024.01.02 10:15;2074.03;2074.24;2072.15;2072.76;4541
2024.01.02 10:30;2072.75;2074.5;2071.7;2073.98;5788
2024.01.02 10:45;2073.98;2074.07;2072.28;2073.31;3999
2024.01.02 11:00;2073.3;2075.64;2073.17;2074.63;4393
2024.01.02 11:15;2074.63;2075.64;2073.91;2074.65;4392
2024.01.02 11:30;2074.65;2078.99;2074.54;2078.29;5127
2024.01.02 11:45;2078.26;2078.94;2076.66;2077.14;4786
2024.01.02 12:00;2077.14;2077.87;2074.46;2075.06;4252
2024.01.02 12:15;2075.05;2075.43;2073.35;2074.68;4434
2024.01.02 12:30;2074.68;2076.15;2074.28;2075.74;3907
2024.01.02 12:45;2075.72;2076.66;2075.33;2075.98;3842
2024.01.02 13:00;2075.98;2076.27;2073.79;2074.09;4372
2024.01.02 13:15;2073.98;2075.97;2072.74;2075.02;5599
2024.01.02 13:30;2075.03;2075.09;2068.31;2068.89;6470
2024.01.02 13:45;2068.9;2070.39;2068.18;2069.33;5799
2024.01.02 14:00;2069.13;2069.52;2066.16;2066.76;6080
2024.01.02 14:15;2066.76;2067.19;2064.93;2066.11;5651
2024.01.02 14:30;2066.11;2068.42;2065.54;2067.28;5291
2024.01.02 14:45;2067.28;2068.21;2066.59;2067.91;4521
2024.01.02 15:00;2067.9;2068.87;2064.76;2065.68;7413
2024.01.02 15:15;2065.68;2068.7;2065.29;2067.17;8338
2024.01.02 15:30;2067.19;2071.18;2066.85;2069.66;9393
2024.01.02 15:45;2069.65;2069.82;2064.78;2066.37;8549
2024.01.02 16:00;2066.38;2067.4;2064.81;2065.31;7663
2024.01.02 16:15;2065.31;2068.01;2064.52;2066.03;7259
2024.01.02 16:30;2065.99;2069.93;2062.04;2065.88;13762
2024.01.02 16:45;2065.86;2070.52;2065.74;2070.29;15015
